CountyName	RaceID	RaceName	BallotID	BallotName	Votes	TotalBallotsCastByRace	PartyName
Kitsap	9	Congressional District 6 U.S. Representative	22787	Derek Kilmer	28765	53831	(Prefers Democratic Party)
Kitsap	9	Congressional District 6 U.S. Representative	25317	Bill Driscoll	10524	53831	(Prefers Republican Party)
Kitsap	9	Congressional District 6 U.S. Representative	24897	David (Ike) Eichner	3033	53831	(Prefers Republican Party)
Kitsap	9	Congressional District 6 U.S. Representative	27013	Stephan Andrew Brodhead	483	53831	(Prefers Republican Party)
Kitsap	9	Congressional District 6 U.S. Representative	26012	Doug Cloud	4007	53831	(Prefers Republican Party)
Kitsap	13	Washington State Governor	24769	Rob Hill	1011	55071	(Prefers Democratic Party)
Kitsap	13	Washington State Governor	26224	Rob McKenna	24149	55071	(Prefers Republican Party)
Kitsap	13	Washington State Governor	24230	Jay Inslee	26347	55071	(Prefers Democratic Party)
Kitsap	13	Washington State Governor	27356	James White	553	55071	(Prefers Independent Party)
Kitsap	13	Washington State Governor	27494	Christian Joubert	404	55071	(States No Party Preference)
Kitsap	13	Washington State Governor	25182	Shahram Hadian	1680	55071	(Prefers Republican Party)
Kitsap	13	Washington State Governor	25059	L. Dale Sorgen	391	55071	(Prefers Independent Party)
Kitsap	13	Washington State Governor	25871	Max Sampson	336	55071	(Prefers Republican Party)
Kitsap	13	Washington State Governor	25246	Javier O. Lopez	200	55071	(Prefers Republican Party)
Kitsap	14	Washington State Lt. Governor	23000	Glenn Anderson	8073	53105	(Prefers Indep Republican Party)
Kitsap	14	Washington State Lt. Governor	22477	Brad Owen	27104	53105	(Prefers Democrat Party)
Kitsap	14	Washington State Lt. Governor	26503	James Robert Deal	1504	53105	(States No Party Preference)
Kitsap	14	Washington State Lt. Governor	24457	Bill Finkbeiner	14455	53105	(Prefers Republican Party)
Kitsap	14	Washington State Lt. Governor	27838	Dave T. Sumner IV	247	53105	(Prefers Neopopulist Party)
Kitsap	14	Washington State Lt. Governor	27436	Mark Greene	1722	53105	(Prefers Democracy Indep. Party)
Kitsap	15	Washington State Secretary of State	22637	Jim Kastama	6419	52738	(Prefers Democratic Party)
Kitsap	15	Washington State Secretary of State	27396	David J. Anderson	1724	52738	(States No Party Preference)
Kitsap	15	Washington State Secretary of State	22512	Sam Wright	771	52738	(Prefers The Human Rights Party)
Kitsap	15	Washington State Secretary of State	22883	Karen Murray	1592	52738	(Prefers Constitution Party)
Kitsap	15	Washington State Secretary of State	22633	Kathleen Drew	11063	52738	(Prefers Democratic Party)
Kitsap	15	Washington State Secretary of State	23674	Kim Wyman	21392	52738	(Prefers Republican Party)
Kitsap	15	Washington State Secretary of State	23136	Greg Nickels	9777	52738	(Prefers Democratic Party)
Kitsap	16	Washington State State Treasurer	24576	Jim McIntire	37477	37477	(Prefers Democratic Party)
Kitsap	17	Washington State State Auditor	23764	Troy Kelley	13172	50838	(Prefers Democratic Party)
